Email,Subject,Opening Line,Body,Salutation
info@alphaphysio.com.au,quick one about Alpha Physio's website,"Hi there,","Your Cliniko booking is great after-hours, but every enquiry that isn't ready to book yet is hitting a contact form — an AI chat could capture them in seconds.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Alpha Physio-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@sydneycitypsychology.com.au,quick one about Sydney City Psychology's website,"Hi there,","Your reception team currently matches every new client over the phone — an AI chat could do the initial intake and Medicare/referral Q&A so they only get warm bookings.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Sydney City Psychology-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
reception@westernclinic.com.au,quick one about Western Clinic Medical Centre's website,"Hi there,","You offer GP, physio, podiatry and cosmetic under one roof — but your website makes patients call to figure out which one they need; an AI chat could route and book them instantly.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Western Clinic Medical Centre-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@westvets.com.au,quick one about WestVETS Animal Hospital's website,"Hi there,","Vetstoria handles bookings, but every 'is this an emergency?' or 'do you treat horses?' question still goes to your front desk — an AI chat could absorb that load 24/7.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real WestVETS Animal Hospital-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@northsydneypsychology.com.au,quick one about North Sydney Psychology Clinic's website,"Hi there,","You're advertising 'immediate availability' across 7 clinics — an AI chat could match clients to the right psychologist and location in 30 seconds instead of a phone tag loop.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real North Sydney Psychology Clinic-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
support@walkerhill.com.au,quick one about WalkerHill Accounting's website,"Hi there,","Every after-hours visitor on your site bounces to a form — a chatbot would capture and qualify them before the next morning.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real WalkerHill Accounting-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@mhprivate.com.au,quick one about M+H Private's website,"Hi there,","Doctors browsing your site at 10pm won't fill a form — a chatbot would book the discovery call while they're still reading.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real M+H Private-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
office@velocitylegal.com.au,quick one about Velocity Legal's website,"Hi there,","Your contact page promises 'someone will be in touch' — a chatbot can qualify and book the meeting instantly.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Velocity Legal-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
mandy@wmkaccounting.com.au,quick one about WMK Accounting's website,"Hi Mandy,","Your contact page is just a phone and email — a chatbot would handle the basic 'how much do you charge?' questions for you.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real WMK Accounting-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
aaron@advancedbb.com.au,quick one about Advanced Bookkeeping Solutions's website,"Hi Aaron,","Your site invites people to 'chat about how we can help', but there's no chat — let's fix that for under $200/mo.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Advanced Bookkeeping Solutions-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@benaylen.com.au,quick one about Ben Aylen Migration's website,"Hi Ben,","As a solo agent every missed enquiry is a lost client — a chatbot answers FAQs and books consults while you're with applicants.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Ben Aylen Migration-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
hello@accomplishwealth.com.au,quick one about Accomplish Wealth's website,"Hi there,","High-net-worth prospects who land on your site after hours won't fill a form — a chatbot books the first call while interest is hot.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Accomplish Wealth-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@mortgagebrokersydney.com.au,quick one about Mortgage Broker Sydney's website,"Hi there,","Your 1300 number rings out after hours — a chatbot captures the enquiry, qualifies the loan, and books the broker for the morning.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Mortgage Broker Sydney-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
sales@calibrerealestate.com.au,quick one about Calibre Real Estate's website,"Hi Alice,","You're handling sales and rentals enquiries through a single contact form — after-hours leads are silently bouncing.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Calibre Real Estate-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@lpadvisory.com.au,quick one about LP Advisory's website,"Hi there,","Buyers researching Melbourne suburbs at midnight need answers now — a chatbot captures them before they DM your competitor on Instagram.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real LP Advisory-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@inviewpropertygroup.com.au,quick one about Inview Property Group's website,"Hi there,","Your contact form says 'we'll be in touch' — meanwhile the buyer's already on a call with another advocate. A chatbot closes that gap.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Inview Property Group-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
sold@klemich.com.au,quick one about Klemich Real Estate's website,"Hi Matt,","You've built the reputation — now make sure no buyer enquiry ever waits more than 10 seconds for a reply.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Klemich Real Estate-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
admin@baileypropertysa.com.au,quick one about Bailey Property's website,"Hi Mark,","One admin inbox is doing the work of a front-desk team — a chatbot triages enquiries and books inspections automatically.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Bailey Property-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
admin@strategiastrata.com,quick one about Strategia Strata's website,"Hi there,","Owners corporations expect instant answers about levies and repairs — a chatbot handles the routine 80% and escalates the rest.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Strategia Strata-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
rosshunt@rosshunt.com.au,quick one about Ross-Hunt Real Estate's website,"Hi there,","Your reputation pulls inbound enquiry — a chatbot makes sure every one of them gets answered in 5 seconds, not 5 hours.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Ross-Hunt Real Estate-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@mbmlandscapingmaintenance.com,quick one about MBM Landscaping & Maintenance's website,"Hi there,","Spring's your busiest window — a chatbot can capture and book quote requests at 9pm when homeowners are actually browsing.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real MBM Landscaping & Maintenance-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@allpest.com.au,quick one about Allpest's website,"Hi there,","Termite enquiries are urgent — losing a lead to a competitor because nobody answered the form for 6 hours is exactly what a chatbot fixes.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Allpest-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
adelaidehillsroofing@gmail.com,quick one about Adelaide Hills Roofing's website,"Hi there,","You're on the tools all day — an AI chat replies to enquiries the second they hit the site, so you don't lose them to whoever calls back first.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Adelaide Hills Roofing-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@paintersgc.com.au,quick one about Spruce It Up Painting's website,"Hi there,","Homeowners shop painters at night after work — an AI chat that books quote visits 24/7 would lock in jobs before competitors even open.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Spruce It Up Painting-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@kycairconditioning.com.au,quick one about KYC Air Conditioning's website,"Hi there,","Your spring specials are running — an AI chat on the page can answer 'will it fit my home?' instantly and book the install.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real KYC Air Conditioning-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@supascleaning.com.au,quick one about Supa's Cleaning Services's website,"Hi there,","Office managers RFQ at 5pm — a chatbot that asks 'how many sqm and how often?' would deliver a hot lead before you open tomorrow.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Supa's Cleaning Services-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
reception@bedfordmedical.com.au,missed enquiries at Bedford Medical Clinic?,"Hi there,","Your site sends every new patient to a phone-only booking page — an AI chat could pre-screen Medicare, GP vs day-surgery enquiries and free up reception.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Bedford Medical Clinic-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
